,source,target,value
0,France,Russia,12
1,Germany,Russia,26
2,Bulgaria,Germany,6
3,Bulgaria,Russia,6
4,Germany,Italy,26
5,Austria,Germany,11
6,Germany,Spain,1
7,France,Poland,11
8,France,Germany,31
9,Germany,Poland,28
10,Estonia,Germany,5
11,Estonia,Latvia,12
12,Latvia,Lithuania,6
13,Finland,Lithuania,12
14,Finland,Germany,5
15,Belgium,Poland,5
16,Belgium,Netherlands,6
17,Luxembourg,Netherlands,6
18,Belgium,Luxembourg,4
19,Belgium,Denmark,6
20,Denmark,Norway,12
21,Denmark,Sweden,5
22,Germany,Sweden,6
23,France,Italy,4
24,Albania,Greece,12
25,Greece,Ukraine,2
26,Belarus,Ukraine,6
27,Belarus,Libya,3
28,Egypt,Libya,16
29,Egypt,Iraq,5
30,Germany,Japan,24
31,Japan,Russia,16
32,Germany,Morocco,2
33,Algeria,Morocco,6
34,Algeria,Italy,5
35,Japan,Thailand,6
36,Singapore,Thailand,6
37,Japan,Singapore,5
38,Japan,Philippines,11
39,Japan,Solomon Islands,9
40,India,Japan,11
41,France,India,6
42,India,Pakistan,18
43,Israel,Pakistan,6
44,Israel,South Africa,11
45,Israel,Libya,5
46,Iran,Libya,6
47,Germany,Iran,3
48,France,Japan,4
49,India,Papua New Guinea,3
50,Pakistan,Philippines,6
51,Laos,Philippines,5
52,Cambodia,Laos,6
53,Cambodia,Kenya,6
54,Ghana,Kenya,6
55,Ghana,Seychelles,6
56,Angola,Seychelles,5
57,Estonia,Lithuania,6
58,Finland,Romania,6
59,Albania,Romania,5
60,Albania,Bulgaria,6
61,Bulgaria,Poland,6
62,Poland,Romania,6
63,Hungary,Romania,6
64,Hungary,Mongolia,4
65,Cuba,Mongolia,6
66,Cuba,United States,7
67,Canada,United States,2
68,Australia,Canada,6
69,Australia,Vietnam,4
70,Cambodia,Vietnam,4
71,Cuba,Vietnam,5
72,Russia,United States,2
73,Finland,Russia,6
74,Greece,Italy,4
75,Italy,Japan,6
76,Romania,Russia,6
77,India,Lebanon,3
78,India,Singapore,5
